#OTUID	taxonomy	confidence
Otu000136	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter;uncultured_bacterium	0.83
Otu000137	Root;Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium;Solobacterium_moorei	0.98
Otu000138	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_7;Prevotella_sp._oral_clone_AU069	0.95
Otu000140	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_7	1.0
Otu000141	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales	1.0
Otu000143	Root;Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Atopobium	1.0
Otu000144	Root;Bacteria;Proteobacteria	1.0
Otu000145	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XIII;Mogibacterium;Mogibacterium_diversum	0.88
Otu000147	Root;Bacteria;Firmicutes;Bacilli;Bacillales	1.0
Otu000148	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter	0.88
Otu000149	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Selenomonas_3;unidentified	0.97
Otu000151	Root;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium_1	0.98
Otu000152	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;uncultured_proteobacterium	0.82
Otu000153	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium;uncultured_organism	0.99
Otu000154	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Alysiella;uncultured_bacterium	0.99
Otu000155	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XIII;[Eubacterium]_nodatum_group	1.0
Otu000156	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_2;Prevotella_marshii	0.88
