#OTUID	taxonomy	confidence
Otu000725	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium	1.0
Otu000727	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.99
Otu000728	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	1.0
Otu000729	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Selenomonas_3	0.86
Otu000730	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_viridiflava	0.99
Otu000734	Root;Bacteria;Firmicutes;Bacilli	1.0
Otu000735	Root;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae	1.0
Otu000737	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000739	Root;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	1.0
Otu000742	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000744	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_7	1.0
Otu000745	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000748	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae	0.91
Otu000751	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.98
Otu000756	Root;Bacteria;Proteobacteria;Gammaproteobacteria	1.0
Otu000757	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium	0.95
Otu000760	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000761	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.99
Otu000762	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.96
Otu000763	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.97
Otu000764	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	0.99
Otu000765	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000767	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae	1.0
Otu000769	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella	1.0
Otu000770	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	1.0
Otu000772	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pseudorhodoferax	0.8
Otu000773	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000775	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1.0
Otu000778	Root;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium_1	0.83
Otu000781	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	0.81
Otu000782	Root;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	0.98
Otu000788	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.99
Otu000790	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio	1.0
Otu000792	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Globicatella;uncultured_bacterium	0.96
Otu000795	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	1.0
Otu000797	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae	0.99
Otu000799	Root;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae	0.94
Otu000800	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	1.0
Otu000801	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	1.0
Otu000803	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	1.0
Otu000804	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	0.99
Otu000805	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;Moraxella_lacunata	0.84
Otu000806	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	1.0
Otu000807	Root;Bacteria;Firmicutes;Bacilli	1.0
Otu000811	Root;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Conchiformibius	0.86
Otu000814	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	0.99
Otu000815	Root;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Dietziaceae;Dietzia	0.99
Otu000816	Root;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	1.0
Otu000820	Root;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Selenomonas_3	0.8
Otu000822	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-001	0.84
